FIPS,Name of Area,State/U.S.-Abbreviation (USPS),Total Population,Population Density (Per Sq. Mile),Area Total:,% Total Population: Female,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: Hispanic or Latino,% Total Population: Asian Alone,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Household Income (In 2018 Inflation Adjusted Dollars),Per Capita Income (In 2018 Inflation Adjusted Dollars),Gini Index,% Housing Units: Occupied,% Housing Units: Vacant,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty,% Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level,Population Age 65 and Over for Whom Poverty  Status Is Determined:,% Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty,% Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level,Average Commute to Work (In Min),Occupied Housing Units,% Occupied Housing Units: No Vehicle Available,% Occupied Housing Units: 1 Vehicle Available,% Occupied Housing Units: 2 Vehicles Available,% Occupied Housing Units: 3 Vehicles Available,% Occupied Housing Units: 4 Vehicles Available,% Occupied Housing Units: 5 or More Vehicles Available,Total:,% Total: No Health Insurance Coverage
01001,Autauga County,al,55200,92.85992,604.3693,51.32,76.88,19.14,2.77,1.03,11.31,32.61,28.39,15.88,9.16,1.37,1.27,95.77,4.23,58786,29372,0.4602,90.56,9.44,13310,22.72,77.28,33541,14.04,85.96,7914,8.71,91.29,26,21115,5.64,28.36,38.65,17.76,7.16,2.43,54277,7.14
01003,Baldwin County,al,208107,130.9019,2027.269,51.38,86.27,9.5,4.49,0.81,9.74,27.61,31.31,20.7,7.71,2.04,0.89,95.56,4.44,55962,31203,0.4609,70.23,29.77,45104,13.38,86.62,119829,10.37,89.63,39996,7.97,92.03,27,78622,3.44,32.77,42.3,15.56,4.44,1.48,205452,10.16
01005,Barbour County,al,25782,29.13214,904.5151,46.87,47.38,47.58,4.29,0.37,26.97,35.69,25.13,7.8,3.33,0.51,0.58,90.48,9.52,34186,18461,0.4731,76.95,23.05,5410,47.6,52.4,13004,25.41,74.59,4442,16.16,83.84,23,9186,9.24,35.65,31.9,15.68,5.54,1.99,22882,11.18
01007,Bibb County,al,22527,36.1902,626.1688,46.06,76.65,22.28,2.43,0.16,16.79,47.34,24.37,7.59,2.8,0.55,0.55,92.49,7.51,45340,20199,0.4294,74.66,25.34,4621,20.19,79.81,12340,13.33,86.67,3507,8.13,91.87,29,6840,5.99,28.77,34.18,19.9,8.01,3.14,20468,7.91
01009,Blount County,al,57645,89.39555,650.6282,50.67,95.51,1.5,9.13,0.34,19.84,34.04,33.48,8.12,3.55,0.61,0.37,95.92,4.08,48695,22656,0.4331,85.05,14.95,13330,21.57,78.43,33763,12.85,87.15,9989,10.07,89.93,35,20600,4.16,26.32,35.59,20.86,8.05,5.02,57169,11.03
01011,Bullock County,al,10352,16.62156,625.1435,45.3,21.99,76.25,0.49,0.54,24.77,39.65,22.27,7.4,3.22,2,0.68,88.94,11.06,32152,20346,0.5174,79.74,20.26,2081,55.93,44.07,6316,25.84,74.16,1512,20.77,79.23,29,3609,11.72,32.47,30.12,16.15,7.95,1.58,9978,10.78
01013,Butler County,al,20025,25.77756,777.8815,53.22,52,45.22,0.33,1.15,15.42,43.86,24.63,9.68,4.72,0.98,0.72,93.29,6.71,39109,20430,0.4708,66.91,33.09,4527,35.01,64.99,11508,22.38,77.62,3672,13.07,86.93,24,6708,7.75,35.12,34.29,15.67,5.78,1.39,19734,10.16
01015,Calhoun County,al,115098,189.9722,612.2875,51.94,74.33,20.57,3.65,0.93,15.95,32.42,33.67,10.19,5.52,1.25,1.01,91.23,8.77,45197,24706,0.4676,83.89,16.11,24786,26.18,73.82,68259,18.09,81.91,18936,10.45,89.55,25,45033,5.77,30.5,38.11,16.27,5.58,3.77,113561,9.41
01017,Chambers County,al,33826,56.70167,603.1137,51.94,57.6,39.38,2.27,1.2,18.6,38.45,29.72,9.34,2.55,1.04,0.3,95.03,4.97,39872,22827,0.4568,79.59,20.41,6835,23.7,76.3,20228,15.98,84.02,6211,10.93,89.07,24,13516,7.32,32.92,34.36,17.31,5.86,2.23,33433,10.81
01019,Cherokee County,al,25853,46.7061,599.9764,50.41,92.82,4.9,1.54,0.21,19.77,38.33,29.01,6.82,3.56,1.92,0.59,94.41,5.59,41014,23356,0.4539,64.16,35.84,5200,17.85,82.15,14841,15.19,84.81,5460,11.79,88.21,28,10606,4.1,25.9,38.78,19.32,8.18,3.71,25587,8.34
