year,fips,srb
2016,1001,5.714285714
2017,1001,3.241895262
2018,1001,3.869047619
2019,1001,3.70198982
2020,1001,4.794520548
2021,1001,3.780718336
2022,1001,5.571030641
2016,1003,3.415397752
2017,1003,3.54446997
2018,1003,3.688588919
2019,1003,5.99608419
2020,1003,5.148005148
2021,1003,5.327082889
2022,1003,7.682119205
2017,1005,1.552795031
2018,1005,5.076142132
2019,1005,2.762430939
2020,1005,2.801120448
2017,1007,2.518891688
2020,1007,5.405405405
2017,1009,4.195804196
2018,1009,5.434782609
2019,1009,2.659574468
2020,1009,3.144654088
2018,1011,8.196721311
2019,1011,20.83333333
2020,1011,14.49275362
2018,1013,2.197802198
2022,1013,5.494505495
2016,1015,8.186655751
2017,1015,8.086748759
2018,1015,7.731958763
2019,1015,9.711510997
2020,1015,12.39203905
2021,1015,6.306306306
2022,1015,5.473453749
2016,1017,8.156606852
2017,1017,5.392450569
2018,1017,6.768189509
2019,1017,3.605769231
2020,1017,7.788161994
2021,1017,10.98901099
2022,1017,7.692307692
2016,1019,3.558718861
2018,1019,2.074688797
2019,1019,3.25732899
2020,1019,3.676470588
2016,1021,7.5
2017,1021,5.326231691
2018,1021,3.072196621
2019,1021,2.34741784
2020,1021,5.571030641
2021,1021,3.344481605
2022,1021,8.771929825
2019,1023,27.02702703
2016,1025,9.615384615
2017,1025,2.463054187
2018,1025,10.78167116
2019,1025,3.861003861
2020,1025,9.900990099
2021,1025,6.172839506
2022,1025,7.633587786
2016,1031,3.636363636
2017,1031,9.208103131
2018,1031,11.85770751
2019,1031,9.549795362
2020,1031,9.025270758
2022,1031,16.43835616
2016,1033,4.608294931
2017,1033,6.947660954
2018,1033,11.00628931
2019,1033,3.311258278
2020,1033,9.782608696
2021,1033,3.931847969
2022,1033,4.983388704
2016,1039,3.344481605
2017,1039,5.908419498
2018,1039,4.926108374
2019,1039,10.15228426
2020,1039,3.174603175
2021,1039,7.434944238
2016,1043,1.811594203
2017,1043,2.5993316
2018,1043,2.657218778
2019,1043,6.706908115
2020,1043,1.800180018
2021,1043,2.103049422
2022,1043,9.421265141
2016,1045,5.376344086
2017,1045,4.058441558
2018,1045,10.69518717
2019,1045,1.295336788
2020,1045,7.886435331
2021,1045,13.04347826
2022,1045,2.610966057
2016,1047,5.681818182
2017,1047,9.737098345
2018,1047,3.968253968
2019,1047,15.48387097
2020,1047,4.415011038
2022,1047,4.64037123
2016,1049,1.647446458
2017,1049,1.55159038
2018,1049,1.988071571
2019,1049,1.547987616
2022,1049,3.521126761
2016,1051,5.93220339
2017,1051,2.977456402
2018,1051,6.205250597
2019,1051,5.398110661
2020,1051,6.26468285
2021,1051,1.138952164
2022,1051,5.649717514
2016,1053,18.18181818
2017,1053,16.27033792
2018,1053,7.082152975
2019,1053,20.13422819
2020,1053,8
2021,1053,8.230452675
2016,1055,3.901170351
2017,1055,6.172839506
2018,1055,9.413468501
2019,1055,7.949125596
2020,1055,8.317338452
2021,1055,11.98083067
2022,1055,13.21585903
2016,1057,8.849557522
2018,1057,4.830917874
2019,1057,7.142857143
2017,1059,7.393715342
2018,1059,8.791208791
2019,1059,13.84083045
2020,1059,11.53846154
2022,1059,24
2017,1061,4.405286344
2020,1061,8.130081301
2022,1061,15.625
2020,1063,15.87301587
2016,1065,13.33333333
2017,1065,5.763688761
2018,1065,13.88888889
2019,1065,4.385964912
2018,1067,3.636363636
2021,1067,8.26446281
2016,1069,5.948839976
2017,1069,5.675368899
2018,1069,9.401441554
2019,1069,10.6856634
2020,1069,7.441327991
2021,1069,7.581501137
2022,1069,14.28571429
2016,1071,7.207207207
2017,1071,4.317789292
2018,1071,5.030181087
2019,1071,2.894356006
2020,1071,7.504690432
2021,1071,2.463054187
2022,1071,3.300330033
2016,1073,7.832038963
2017,1073,10.17818959
2018,1073,11.07069429
2019,1073,11.04467696
2020,1073,16.1924318
2021,1073,9.386233524
2022,1073,9.885300332
2016,1077,4.393190555
2017,1077,8.781558727
2018,1077,8.604206501
2019,1077,7.966260544
2020,1077,9.327115257
2021,1077,4.366812227
2022,1077,4.255319149
2017,1079,1.865671642
2018,1079,2.074688797
2019,1079,3.333333333
2016,1081,7.055805003
2017,1081,8.492022645
2018,1081,8.711644565
2019,1081,12.83497884
2020,1081,11.47342995
2021,1081,6.674082314
2022,1081,7.81822624
2016,1083,2.788104089
2017,1083,5.642361111
2018,1083,6.687242798
2019,1083,5.882352941
2020,1083,0.922509225
2021,1083,2.333722287
2022,1083,1.455604076
2016,1087,17.58241758
2017,1087,25.30730296
2018,1087,15.2866242
2019,1087,24.52984464
2020,1087,23.67531003
2021,1087,16.15798923
2022,1087,2.155172414
2016,1089,8.754542451
2017,1089,12.9394166
