fips,year,month,usercnt,tweetcnt,usercnt_all,tweetcnt_all,srb,srb_using_tweet
45001,2017,1,,,11442.0,77123.0,0.0,0.0
45001,2017,2,,,11442.0,77123.0,0.0,0.0
45001,2017,3,,,11442.0,77123.0,0.0,0.0
45001,2017,4,1.0,1.0,77.0,452.0,12.987012987,2.21238938053
45001,2017,5,1.0,1.0,73.0,464.0,13.698630137,2.15517241379
45001,2017,6,,,11442.0,77123.0,0.0,0.0
45001,2017,7,,,11442.0,77123.0,0.0,0.0
45001,2017,8,,,11442.0,77123.0,0.0,0.0
45001,2017,9,,,11442.0,77123.0,0.0,0.0
45001,2017,10,,,11442.0,77123.0,0.0,0.0
45001,2017,11,,,11442.0,77123.0,0.0,0.0
45001,2017,12,,,11442.0,77123.0,0.0,0.0
45001,2018,1,1.0,1.0,54.0,411.0,18.5185185185,2.43309002433
45001,2018,2,,,11442.0,77123.0,0.0,0.0
45001,2018,3,1.0,1.0,54.0,343.0,18.5185185185,2.91545189504
45001,2018,4,,,11442.0,77123.0,0.0,0.0
45001,2018,5,,,11442.0,77123.0,0.0,0.0
45001,2018,6,,,11442.0,77123.0,0.0,0.0
45001,2018,7,,,11442.0,77123.0,0.0,0.0
45001,2018,8,,,11442.0,77123.0,0.0,0.0
45001,2018,9,,,11442.0,77123.0,0.0,0.0
45001,2018,10,1.0,1.0,47.0,251.0,21.2765957447,3.98406374502
45001,2018,11,,,11442.0,77123.0,0.0,0.0
45001,2018,12,,,11442.0,77123.0,0.0,0.0
45001,2019,1,,,11442.0,77123.0,0.0,0.0
45001,2019,2,,,11442.0,77123.0,0.0,0.0
45001,2019,3,1.0,1.0,37.0,134.0,27.027027027,7.46268656716
45001,2019,4,,,11442.0,77123.0,0.0,0.0
45001,2019,5,,,11442.0,77123.0,0.0,0.0
45001,2019,6,2.0,2.0,41.0,222.0,48.7804878049,9.00900900901
45001,2019,7,,,11442.0,77123.0,0.0,0.0
45001,2019,8,,,11442.0,77123.0,0.0,0.0
45001,2019,9,,,11442.0,77123.0,0.0,0.0
45001,2019,10,,,11442.0,77123.0,0.0,0.0
45001,2019,11,,,11442.0,77123.0,0.0,0.0
45001,2019,12,,,11442.0,77123.0,0.0,0.0
45001,2020,1,,,11442.0,77123.0,0.0,0.0
45001,2020,2,,,11442.0,77123.0,0.0,0.0
45001,2020,3,,,11442.0,77123.0,0.0,0.0
45001,2020,4,,,11442.0,77123.0,0.0,0.0
45001,2020,5,,,11442.0,77123.0,0.0,0.0
45001,2020,6,,,11442.0,77123.0,0.0,0.0
45001,2020,7,,,11442.0,77123.0,0.0,0.0
45001,2020,8,,,11442.0,77123.0,0.0,0.0
45001,2020,9,,,11442.0,77123.0,0.0,0.0
45001,2020,10,,,11442.0,77123.0,0.0,0.0
45001,2020,11,,,11442.0,77123.0,0.0,0.0
45001,2020,12,,,11442.0,77123.0,0.0,0.0
45001,2021,1,,,11442.0,77123.0,0.0,0.0
45001,2021,2,,,11442.0,77123.0,0.0,0.0
45001,2021,3,1.0,1.0,29.0,124.0,34.4827586207,8.06451612903
45001,2021,4,,,11442.0,77123.0,0.0,0.0
45001,2021,5,,,11442.0,77123.0,0.0,0.0
45001,2021,6,,,11442.0,77123.0,0.0,0.0
45001,2021,7,,,11442.0,77123.0,0.0,0.0
45001,2021,8,,,11442.0,77123.0,0.0,0.0
45001,2021,9,,,11442.0,77123.0,0.0,0.0
45001,2021,10,,,11442.0,77123.0,0.0,0.0
45001,2021,11,,,11442.0,77123.0,0.0,0.0
45001,2021,12,,,11442.0,77123.0,0.0,0.0
45001,2022,1,,,11442.0,77123.0,0.0,0.0
45001,2022,2,,,11442.0,77123.0,0.0,0.0
45001,2022,3,,,11442.0,77123.0,0.0,0.0
45001,2022,4,,,11442.0,77123.0,0.0,0.0
45001,2022,5,,,11442.0,77123.0,0.0,0.0
45001,2022,6,,,11442.0,77123.0,0.0,0.0
45001,2022,7,,,11442.0,77123.0,0.0,0.0
45001,2022,8,,,11442.0,77123.0,0.0,0.0
45001,2022,9,,,11442.0,77123.0,0.0,0.0
45001,2022,10,,,11442.0,77123.0,0.0,0.0
45001,2022,11,,,11442.0,77123.0,0.0,0.0
45001,2022,12,,,11442.0,77123.0,0.0,0.0
45003,2017,1,9.0,10.0,947.0,15936.0,9.50369588173,0.627510040161
45003,2017,2,3.0,3.0,845.0,11019.0,3.55029585799,0.272257010618
45003,2017,3,4.0,5.0,978.0,12720.0,4.0899795501,0.393081761006
45003,2017,4,3.0,3.0,967.0,10582.0,3.10237849018,0.2835002835
45003,2017,5,3.0,5.0,898.0,10288.0,3.34075723831,0.48600311042
45003,2017,6,5.0,6.0,867.0,8944.0,5.76701268743,0.67084078712
45003,2017,7,7.0,10.0,1046.0,10796.0,6.69216061185,0.926268988514
45003,2017,8,,,11442.0,77123.0,0.0,0.0
45003,2017,9,,,11442.0,77123.0,0.0,0.0
45003,2017,10,5.0,5.0,903.0,9028.0,5.53709856035,0.553832521046
45003,2017,11,3.0,4.0,942.0,7992.0,3.1847133758,0.500500500501
45003,2017,12,3.0,3.0,881.0,9203.0,3.40522133939,0.325980658481
45003,2018,1,3.0,4.0,824.0,10694.0,3.64077669903,0.374041518609
45003,2018,2,2.0,2.0,758.0,9216.0,2.63852242744,0.217013888889
45003,2018,3,4.0,5.0,893.0,11220.0,4.47928331467,0.445632798574
45003,2018,4,5.0,13.0,957.0,10488.0,5.22466039707,1.23951182304
45003,2018,5,4.0,7.0,864.0,12194.0,4.62962962963,0.574052812859
45003,2018,6,7.0,8.0,844.0,11158.0,8.29383886256,0.716974368166
45003,2018,7,6.0,9.0,961.0,12421.0,6.24349635796,0.724579341438
45003,2018,8,4.0,5.0,867.0,10975.0,4.61361014994,0.455580865604
