fips,year,month,day,cd_distance,cd_usercnt,sd_distance,sd_usercnt,cd_sd_weighted_mean_distance,cd_sd_usercnt
AL,2020,1,1,33.46465471,1448,30.0767667732,1565,31.7049319682,3013
AL,2020,1,2,26.62936871,1489,27.9995633188,1374,27.2869472613,2863
AL,2020,1,3,19.80268245,1439,28.54256875,1600,24.404136244,3039
AL,2020,1,4,22.49639123,1380,31.7496703297,1456,27.2470168891,2836
AL,2020,1,5,26.34914674,1465,26.467794836,1433,26.4078157261,2898
AL,2020,1,6,21.89696114,1517,27.2430466185,1523,24.5752796215,3040
AL,2020,1,7,16.79442746,1511,29.8287229862,1527,23.345898582,3038
AL,2020,1,8,13.89403766,1595,24.1675899743,1556,18.9672358196,3151
AL,2020,1,9,17.90616602,1638,23.1666706803,1661,20.5547559687,3299
AL,2020,1,10,18.46369775,1555,25.288116208,1635,21.9614796242,3190
AL,2020,1,11,17.39865946,1589,19.3978086237,1693,18.4299085563,3282
AL,2020,1,12,20.63396655,1611,21.2358327759,1495,20.9236606929,3106
AL,2020,1,13,12.98917003,1771,19.7081294182,1839,16.411930782,3610
AL,2020,1,14,12.009791,1340,25.0894549627,1743,19.4044891145,3083
AL,2020,1,15,11.41625001,1208,16.8357219251,1122,14.0259699623,2330
AL,2020,1,16,18.0807064,1543,21.1041904762,1470,19.5558214322,3013
AL,2020,1,17,21.35423725,1534,28.83130625,1600,25.1715028531,3134
AL,2020,1,18,20.0459347,1439,23.2526357616,1510,21.6878874308,2949
AL,2020,1,19,25.22867351,1455,22.4309123055,1414,23.8497838819,2869
AL,2020,1,20,23.11321834,1594,25.979135101,1584,24.5416677262,3178
AL,2020,1,21,14.39998807,1679,23.4129935559,1707,18.943756636,3386
AL,2020,1,22,15.62951576,1652,23.2416933097,1689,19.4777551738,3341
AL,2020,1,23,20.34577221,1606,24.656143117,1649,22.5294286234,3255
AL,2020,1,24,21.32850833,1562,34.6422278803,1571,28.0044909069,3133
AL,2020,1,25,24.08664227,1635,27.7749458943,1571,25.8939800722,3206
AL,2020,1,26,20.11535693,1555,30.0229775943,1696,25.2840203095,3251
AL,2020,1,27,13.01462101,1504,22.2426293706,1430,17.5122528967,2934
AL,2020,1,28,15.08014826,1551,26.5852377892,1556,20.8419504188,3107
AL,2020,1,29,12.84514452,1522,21.8990385873,1529,17.3824778628,3051
AL,2020,1,30,15.98818954,1541,23.4964731586,1602,19.8151925171,3143
AL,2020,1,31,24.71575072,1532,26.1769908257,1635,25.4701326502,3167
AL,2020,2,1,21.57471846,1545,34.4799319728,1617,28.1742536435,3162
AL,2020,2,2,16.59194521,1023,28.9917848259,1608,24.1704104712,2631
AL,2020,2,3,16.75731976,929,17.2139408284,845,16.9748196488,1774
AL,2020,2,4,12.04190508,1475,21.7392673993,1365,16.7027852088,2840
AL,2020,2,5,11.26631965,1614,23.8098344017,1872,18.0022518402,3486
AL,2020,2,6,20.62116634,763,24.2174663073,1484,22.9962927981,2247
AL,2020,2,7,15.11429634,817,9.19204355109,597,12.6138826802,1414
AL,2020,2,8,20.12370317,1415,26.108287037,1512,23.2151588608,2927
AL,2020,2,9,21.43293868,1334,24.5200641026,1404,23.0159642802,2738
AL,2020,2,10,9.578149872,1481,20.6783263305,1428,15.0271192714,2909
AL,2020,2,11,8.589323019,1418,23.7249868074,1516,16.4099318476,2934
AL,2020,2,12,12.18833895,1499,19.3176349432,1408,15.6414000984,2907
AL,2020,2,13,22.79436881,1632,24.0881168428,1609,23.4366522363,3241
AL,2020,2,14,20.38704832,1467,32.1517097171,1626,26.5717684725,3093
AL,2020,2,15,19.0144535,1345,27.545306685,1451,23.4415879676,2796
AL,2020,2,16,22.1480388,1392,26.8280825959,1356,24.4574053892,2748
AL,2020,2,17,17.25319723,1567,22.0957702703,1480,19.6053495436,3047
AL,2020,2,18,12.22796002,1603,23.2167976804,1552,17.6335625712,3155
AL,2020,2,19,13.42911912,1646,24.0926042908,1678,18.8121901539,3324
AL,2020,2,20,21.59320672,1606,25.0393201483,1618,23.3226767966,3224
AL,2020,2,21,24.28915722,1519,29.6272930355,1522,26.9608582102,3041
AL,2020,2,22,20.08916619,1475,28.0348429319,1910,24.5725465673,3385
AL,2020,2,23,23.16751815,1511,26.8236078965,1469,24.9697986324,2980
AL,2020,2,24,16.50680612,1625,25.1526902537,1498,20.6539513112,3123
