year,month,day,cd_distance,cd_usercnt,sd_distance,sd_usercnt,cd_sd_weighted_mean_distance,cd_sd_usercnt
2020,1,1,18.92137529,420616,43.19821854,495958,32.0575701,916574
2020,1,2,16.89172216,422612,36.72842029,465344,27.28738191,887956
2020,1,3,17.12981634,419607,39.70541298,477794,29.14950945,897401
2020,1,4,16.96221036,419019,36.69838088,469792,27.39400634,888811
2020,1,5,16.56163449,415893,37.09621418,472342,27.48142986,888235
2020,1,6,15.78792653,427438,35.81888421,467948,26.25653625,895386
2020,1,7,14.3352678,429272,34.51779459,469419,24.8773357,898691
2020,1,8,14.89873432,431181,35.26418304,467258,25.49034804,898439
2020,1,9,15.74304697,434046,36.03217337,474715,26.34160109,908761
2020,1,10,16.54334349,427922,35.02787568,482235,26.33713553,910157
2020,1,11,16.18752472,427092,33.90116741,481510,25.5747989,908602
2020,1,12,16.36649216,422296,34.53381153,477414,26.00663467,899710
2020,1,13,14.23285655,436140,33.40667293,476443,24.24315764,912583
2020,1,14,13.94140242,438340,31.76888478,475923,23.22156457,914263
2020,1,15,14.80315388,437309,32.81486746,476082,24.19130487,913391
2020,1,16,16.08090721,436098,35.41878366,477054,26.18350931,913152
2020,1,17,16.05412632,423422,35.69984129,482777,26.52036976,906199
2020,1,18,15.55373604,422434,34.64787061,471529,25.62511279,893963
2020,1,19,16.39860078,418156,34.30764215,477618,25.94752777,895774
2020,1,20,14.49964626,431288,34.26960097,468611,24.79459964,899899
2020,1,21,13.41204741,427634,32.12007103,475162,23.25850432,902796
2020,1,22,14.29027478,430242,33.297547,469177,24.20531433,899419
2020,1,23,16.2013264,429208,35.55488198,470178,26.31891335,899386
2020,1,24,16.38060668,417502,35.95488384,474946,26.79771181,892448
2020,1,25,15.46814822,419645,34.6315424,466836,25.55991814,886481
2020,1,26,16.58902274,414149,36.08146764,479687,27.04985942,893836
2020,1,27,14.18285031,423185,34.99934072,455784,24.97711412,878969
2020,1,28,13.37108353,433156,32.52278651,466515,23.30199907,899671
2020,1,29,13.99040038,436483,32.78920221,474925,23.78625576,911408
2020,1,30,15.52830383,436471,34.19916072,475800,25.2661928,912271
2020,1,31,16.54525965,424107,35.04721418,485897,26.42438568,910004
2020,2,1,16.29417231,422584,38.62061081,478067,28.14508179,900651
2020,2,2,15.1333554,413554,35.36253127,479782,25.99779438,893336
2020,2,3,13.8964368,425673,33.34526975,460079,23.99858685,885752
2020,2,4,12.73202467,433136,32.73619819,468934,23.13103706,902070
2020,2,5,13.83357886,433966,31.25673209,475512,22.94311031,909478
2020,2,6,14.85669926,423292,34.30309922,472426,25.11325874,895718
2020,2,7,15.17552808,412085,34.76692224,462285,25.53362323,874370
2020,2,8,14.87026864,418173,32.31503188,472952,24.1288302,891125
2020,2,9,16.02797068,412933,34.68589821,471626,25.97593767,884559
2020,2,10,14.47106833,431046,33.59479271,464007,24.38505329,895053
2020,2,11,13.80694356,435021,31.57188107,475829,23.08736564,910850
2020,2,12,14.13558543,436657,31.35412174,471192,23.07235417,907849
2020,2,13,16.35236389,442729,34.1869169,478723,25.61796939,921452
2020,2,14,16.09731055,425270,35.92956322,492263,26.73745559,917533
2020,2,15,14.76580798,413552,32.59111126,466676,24.21636083,880228
2020,2,16,15.81164384,409359,32.97076777,463473,24.92312308,872832
2020,2,17,14.23100219,424650,33.5763406,461046,24.30115142,885696
2020,2,18,13.00697759,431773,32.0050074,466452,22.87273394,898225
2020,2,19,14.534461,432291,31.4402545,470999,23.34958331,903290
2020,2,20,16.41857229,428657,34.92962819,473094,26.13019942,901751
2020,2,21,16.43481883,413050,34.73165957,473394,26.20601095,886444
2020,2,22,15.3115715,411461,34.22998861,467969,25.37858392,879430
2020,2,23,17.0212339,408596,34.0342826,468414,26.10796061,877010
2020,2,24,15.40394375,425711,33.76670875,466349,25.00358626,892060
2020,2,25,14.18538798,431789,33.00610217,475773,24.05180774,907562
2020,2,26,14.54722064,436408,32.97651323,475870,24.16046075,912278
