county,fips,year,link
Abbeville,45001,2010,1
Aiken,45003,2010,0.583333333
Allendale,45005,2010,0
Anderson,45007,2010,0.571428571
Bamberg,45009,2010,1
Barnwell,45011,2010,1
Beaufort,45013,2010,0.666666667
Berkeley,45015,2010,0.615384615
Calhoun,45017,2010,0.666666667
Charleston,45019,2010,0.579545455
Cherokee,45021,2010,0.714285714
Chester,45023,2010,1
Chesterfield,45025,2010,0.75
Clarendon,45027,2010,1
Colleton,45029,2010,0.8
Darlington,45031,2010,0.714285714
Dillon,45033,2010,0.5
Dorchester,45035,2010,0.636363636
Edgefield,45037,2010,0.25
Fairfield,45039,2010,0.666666667
Florence,45041,2010,0.588235294
Georgetown,45043,2010,0.538461539
Greenville,45045,2010,0.618181818
Greenwood,45047,2010,1
Hampton,45049,2010,0.666666667
Horry,45051,2010,0.62962963
Jasper,45053,2010,0.5
Kershaw,45055,2010,0.285714286
Lancaster,45057,2010,0.666666667
Laurens,45059,2010,1
Lee,45061,2010,0.583333333
Lexington,45063,2010,0.52631579
Marion,45067,2010,0.714285714
Marlboro,45069,2010,0.6
McCormick,45065,2010,1
Newberry,45071,2010,1
Oconee,45073,2010,0.666666667
Orangeburg,45075,2010,0.540540541
Pickens,45077,2010,0.6
Richland,45079,2010,0.609929078
Saluda,45081,2010,1
Spartanburg,45083,2010,0.621621622
Sumter,45085,2010,0.515151515
Union,45087,2010,1
Williamsburg,45089,2010,0.4375
York,45091,2010,0.481481482
Abbeville,45001,2011,1
Aiken,45003,2011,0.733333333
Allendale,45005,2011,0.5
Anderson,45007,2011,0.75
Bamberg,45009,2011,0.6
Barnwell,45011,2011,1
Beaufort,45013,2011,0.68
Berkeley,45015,2011,0.533333333
Calhoun,45017,2011,0.666666667
Charleston,45019,2011,0.567010309
Cherokee,45021,2011,1
Chester,45023,2011,1
Chesterfield,45025,2011,0.5
Clarendon,45027,2011,0.777777778
Colleton,45029,2011,0.666666667
Darlington,45031,2011,0.5
Dillon,45033,2011,0.333333333
Dorchester,45035,2011,0.285714286
Edgefield,45037,2011,0.5
Fairfield,45039,2011,1
Florence,45041,2011,0.789473684
Georgetown,45043,2011,0.555555556
Greenville,45045,2011,0.596491228
Greenwood,45047,2011,0.571428571
Hampton,45049,2011,0.6
Horry,45051,2011,0.64516129
Jasper,45053,2011,1
Kershaw,45055,2011,0.714285714
Lancaster,45057,2011,0.571428571
Laurens,45059,2011,0.666666667
Lee,45061,2011,1
Lexington,45063,2011,0.552631579
Marion,45067,2011,0.9
Marlboro,45069,2011,0.857142857
McCormick,45065,2011,1
Newberry,45071,2011,1
Oconee,45073,2011,1
Orangeburg,45075,2011,0.8125
Pickens,45077,2011,0.6
Richland,45079,2011,0.634146342
Spartanburg,45083,2011,0.705882353
Sumter,45085,2011,0.451612903
Union,45087,2011,0.8
Williamsburg,45089,2011,0.75
York,45091,2011,0.444444444
Saluda,45081,2011,0.671478696
Abbeville,45001,2012,0.75
Aiken,45003,2012,0.52
Allendale,45005,2012,0.666666667
Anderson,45007,2012,0.733333333
Bamberg,45009,2012,0.5
Beaufort,45013,2012,0.636363636
Berkeley,45015,2012,0.52631579
Charleston,45019,2012,0.584415584
Cherokee,45021,2012,0.666666667
Chester,45023,2012,0.75
Chesterfield,45025,2012,0.333333333
Clarendon,45027,2012,0.857142857
Colleton,45029,2012,1
Darlington,45031,2012,0.722222222
Dillon,45033,2012,0.666666667
Dorchester,45035,2012,0.5
Edgefield,45037,2012,0.666666667
Fairfield,45039,2012,0.428571429
Florence,45041,2012,0.652173913
Georgetown,45043,2012,0.714285714
Greenville,45045,2012,0.557692308
Greenwood,45047,2012,0.888888889
Hampton,45049,2012,0.75
Horry,45051,2012,0.757575758
Jasper,45053,2012,0
