county,fips,year,link
Allendale,45005,2010,
Jasper,45053,2012,
McCormick,45065,2012,
Chester,45023,2013,
Edgefield,45037,2014,
Abbeville,45001,2015,
Saluda,45081,2017,
Edgefield,45037,2015,0.111111111
Jasper,45053,2013,0.166666667
Chester,45023,2015,0.166666667
Beaufort,45013,2015,0.181818182
Fairfield,45039,2015,0.2
Edgefield,45037,2010,0.25
Hampton,45049,2013,0.25
Chesterfield,45025,2014,0.25
Allendale,45005,2018,0.25
Aiken,45003,2017,0.263157895
McCormick,45065,2015,0.26666667
Kershaw,45055,2010,0.285714286
Dorchester,45035,2011,0.285714286
Kershaw,45055,2012,0.3
Dillon,45033,2011,0.333333333
Chesterfield,45025,2012,0.333333333
Lancaster,45057,2012,0.333333333
Newberry,45071,2012,0.333333333
Oconee,45073,2012,0.333333333
Lancaster,45057,2015,0.333333333
Allendale,45005,2016,0.333333333
Chesterfield,45025,2017,0.333333333
Oconee,45073,2017,0.333333333
Colleton,45029,2018,0.333333333
Dorchester,45035,2017,0.368421053
Edgefield,45037,2013,0.4
Calhoun,45017,2014,0.4
Colleton,45029,2014,0.4
Dillon,45033,2015,0.4
Jasper,45053,2015,0.4
Chester,45023,2016,0.4
Beaufort,45013,2017,0.4
Hampton,45049,2017,0.4
Chesterfield,45025,2018,0.4
Dillon,45033,2018,0.4
McCormick,45065,2014,0.4047619
Aiken,45003,2013,0.421052632
Fairfield,45039,2012,0.428571429
Marlboro,45069,2012,0.428571429
Lancaster,45057,2013,0.428571429
Berkeley,45015,2014,0.428571429
Lancaster,45057,2014,0.428571429
Dillon,45033,2016,0.428571429
Edgefield,45037,2016,0.428571429
Williamsburg,45089,2010,0.4375
York,45091,2011,0.444444444
Jasper,45053,2017,0.444444444
Williamsburg,45089,2017,0.444444444
Allendale,45005,2013,0.45
Sumter,45085,2011,0.451612903
Pickens,45077,2013,0.454545455
Williamsburg,45089,2013,0.454545455
York,45091,2017,0.454545455
Williamsburg,45089,2015,0.466666667
Allendale,45005,2017,0.46666667
Orangeburg,45075,2018,0.46875
Beaufort,45013,2018,0.470588235
Aiken,45003,2016,0.473684211
Aiken,45003,2014,0.476190476
Sumter,45085,2017,0.47826087
Lexington,45063,2012,0.48
York,45091,2012,0.48
York,45091,2010,0.481481482
Charleston,45019,2013,0.481927711
